,pred_kgha,real_kgha
0,5240.713973307365,4252.611484883273
1,3931.600623646021,4053.3915117457695
2,2479.6203839866844,4455.993267870033
3,3134.9974337366552,4800.455102553273
4,4734.637073513258,4198.294990082174
5,4056.543127645081,2572.8683245828884
6,4728.187540926183,3637.9272274258715
7,4521.747293499983,4427.568857467641
8,3652.909630775312,3791.694197112317
9,3959.630635115743,4451.968323062337
10,3721.7280744527766,4334.2694321750705
11,4607.347200286347,3880.1999402486454
12,3723.3998747779974,4059.0000058922237
13,5147.700236272197,2568.6999496280077
14,5136.000046013756,3075.6999049714154
15,3834.8000521540826,4406.299800697557
16,4709.600121724362,4568.899903428671
17,4160.100097330619,4182.1000975035495
18,3667.699955950385,4932.299817185649
19,3771.800041621666,4451.700181387367
20,4019.3999002674823,3610.6001154019846
21,4549.899893242115,3389.3000359127113
22,4483.899875737281,4712.500012959273
