,pred_kgha,real_kgha
0,3859.5612864928257,4529.785802466558
1,5087.2002994942995,3367.199291518683
2,4427.841483457966,4004.9724819013377
3,3801.680597547213,4203.779031737999
4,4512.401368802857,4473.4278783047885
5,3619.7427851084417,4108.176698185158
6,4208.472368845153,3774.9229256292238
7,4489.024395053246,4738.0466139826685
8,4066.752062229463,3508.8315679664693
9,4355.854853996233,3746.2481069807645
10,4664.801743384902,4977.55104343178
11,3701.049877188827,3667.699955950385
12,4483.899875737281,4932.299817185649
13,2568.6999496280077,4549.899893242115
14,3610.6001154019846,3389.3000359127113
15,3723.3998747779974,5136.000046013756
16,4712.500012959273,3075.6999049714154
17,4568.899903428671,3771.800041621666
18,4451.700181387367,4406.299800697557
19,4182.1000975035495,4709.600121724362
20,4160.100097330619,5147.700236272197
21,4059.0000058922237,3834.8000521540826
22,3880.1999402486454,4019.3999002674823
