,plot_id,coords,trial_name,line,rep,row,column,em,hm,kgha,sdwt,0_mean,1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,9_mean,10_mean,11_mean,12_mean,13_mean,14_mean,15_mean,16_mean,17_mean,18_mean,19_mean,20_mean,21_mean,22_mean,23_mean,24_mean,25_mean,26_mean,27_mean,28_mean,29_mean,30_mean,31_mean,32_mean,33_mean,34_mean,35_mean,36_mean,37_mean,38_mean,39_mean,40_mean,41_mean,42_mean,43_mean,44_mean,45_mean,46_mean,47_mean,48_mean,49_mean,50_mean,51_mean,52_mean,53_mean,54_mean,55_mean,56_mean,57_mean,58_mean,59_mean,60_mean,61_mean,62_mean,63_mean,64_mean,65_mean,66_mean,67_mean,68_mean,69_mean,70_mean,71_mean,72_mean,73_mean,74_mean,75_mean,76_mean,77_mean,78_mean,79_mean,80_mean,81_mean,82_mean,83_mean,84_mean,85_mean,86_mean,87_mean,88_mean,89_mean
49,104,"(572, 248)",OT2008,PT20-11,3,10,7,1,100,NaN,NaN,0.0767552367214356,-0.3575398845286361,-0.3633637119901129,-0.32400606197651527,-0.3218838035776833,-0.8439206503383803,-0.7306636799883053,-0.6238892206997132,-0.8248688158326957,-0.0767552367214356,-0.4222195012184895,-0.4277621884798874,-0.3908027339266073,-0.3895639830502965,-0.8639401005145524,-0.7639936301523452,-0.6683556964827604,-0.8471566226552275,0.3575398845286361,0.4222195012184895,-0.006279922765229265,0.0403532361297722,0.042941831538020364,-0.7108613247832002,-0.5149070124644882,-0.34525391957788387,-0.678300205107463,0.3633637119901129,0.4277621884798874,0.006279922765229265,0.04644202228003337,0.049151439906500505,-0.7073124611512646,-0.5099994652135077,-0.339728610161776,-0.6744645050973898,0.32400606197651527,0.3908027339266073,-0.0403532361297722,-0.04644202228003337,0.0024713481624702213,-0.7092583072363156,-0.5286678456100354,-0.3731411764686281,-0.6775288354229854,0.3218838035776833,0.3895639830502965,-0.042941831538020364,-0.049151439906500505,-0.0024713481624702213,-0.7163639843868408,-0.5353809579315447,-0.378261473930599,-0.6850807909900589,0.8439206503383803,0.8639401005145524,0.7108613247832002,0.7073124611512646,0.7092583072363156,0.7163639843868408,0.31657547255453067,0.48731245444594457,0.06354849582876454,0.7306636799883053,0.7639936301523452,0.5149070124644882,0.5099994652135077,0.5286678456100354,0.5353809579315447,-0.31657547255453067,0.2071330155707595,-0.2585237150584316,0.6238892206997132,0.6683556964827604,0.34525391957788387,0.339728610161776,0.3731411764686281,0.378261473930599,-0.48731245444594457,-0.2071330155707595,-0.43810811695753693,0.8248688158326957,0.8471566226552275,0.678300205107463,0.6744645050973898,0.6775288354229854,0.6850807909900589,-0.06354849582876454,0.2585237150584316,0.43810811695753693
50,103,"(572, 289)",OT2008,PT19-1,3,10,8,1,102,4500.0,47.4,0.06145346463224379,-0.35935429149386494,-0.36543919967974675,-0.3182140727512049,-0.3132444451183169,-0.8465296743258046,-0.734439136855374,-0.6261489087555253,-0.828436600362082,-0.06145346463224379,-0.41148459858460223,-0.41732339368463406,-0.3718060921465009,-0.3679168256484604,-0.8627424160222208,-0.7612965202294684,-0.6620988352503806,-0.8464907199924707,0.35935429149386494,0.41148459858460223,-0.006573292587759222,0.04822106793798433,0.05422880901016784,-0.7141356184441293,-0.5190034940679206,-0.3466633124043849,-0.6829946545358782,0.36543919967974675,0.41732339368463406,0.006573292587759222,0.054644296307407136,0.06074574547436246,-0.7104516348339744,-0.5138858097840578,-0.34089528421314186,-0.6790289202859178,0.3182140727512049,0.3718060921465009,-0.04822106793798433,-0.054644296307407136,0.005868873136344955,-0.7162902233329393,-0.5382878560258171,-0.3812568235497652,-0.686290167968379,0.3132444451183169,0.3679168256484604,-0.05422880901016784,-0.06074574547436246,-0.005868873136344955,-0.7243867969706466,-0.546975374506709,-0.38909749580349606,-0.6949723297515632,0.8465296743258046,0.8627424160222208,0.7141356184441293,0.7104516348339744,0.7162902233329393,0.7243867969706466,0.3182448617884754,0.4916297198563375,0.06176444470906443,0.734439136855374,0.7612965202294684,0.5190034940679206,0.5138858097840578,0.5382878560258171,0.546975374506709,-0.3182448617884754,0.21099602270609089,-0.26201677698858933,0.6261489087555253,0.6620988352503806,0.3466633124043849,0.34089528421314186,0.3812568235497652,0.38909749580349606,-0.4916297198563375,-0.21099602270609089,-0.4442971366229666,0.828436600362082,0.8464907199924707,0.6829946545358782,0.6790289202859178,0.686290167968379,0.6949723297515632,-0.06176444470906443,0.26201677698858933,0.4442971366229666
51,102,"(572, 330)",OT2008,PT19-1,2,10,9,3,102,4653.9,44.2,0.06494848384758964,-0.359445116326054,-0.36541695951241737,-0.3107132980506189,-0.30912824187653076,-0.8515218967510708,-0.7360273511290558,-0.6261531431207424,-0.8327926259867872,-0.06494848384758964,-0.41445738327590675,-0.4201937252687436,-0.36790299565335827,-0.36717646846495805,-0.8680450009316001,-0.7642129578195984,-0.664122186825957,-0.8513012688265965,0.359445116326054,0.41445738327590675,-0.006505961067216094,0.05648485873780767,0.05867196195338997,-0.7235741149473678,-0.5219876145254364,-0.3468472174596864,-0.6911072608472325,0.36541695951241737,0.4201937252687436,0.006505961067216094,0.06282014413060047,0.06510081210267755,-0.7200009861575877,-0.5169451695328735,-0.34111521766131186,-0.6872253054687635,0.3107132980506189,0.36790299565335827,-0.05648485873780767,-0.06282014413060047,0.002000499926018665,-0.7282708784767312,-0.5465417686222743,-0.3883811534174451,-0.6974856441446017,0.30912824187653076,0.36717646846495805,-0.05867196195338997,-0.06510081210267755,-0.002000499926018665,-0.7344651072232441,-0.5523568182591093,-0.3928174149335811,-0.7040612103383673,0.8515218967510708,0.8680450009316001,0.7235741149473678,0.7200009861575877,0.7282708784767312,0.7344651072232441,0.332788415785635,0.5063570392461945,0.06627070290202115,0.7360273511290558,0.7642129578195984,0.5219876145254364,0.5169451695328735,0.5465417686222743,0.5523568182591093,-0.332788415785635,0.21485011170360058,-0.2730212627363705,0.6261531431207424,0.664122186825957,0.3468472174596864,0.34111521766131186,0.3883811534174451,0.3928174149335811,-0.5063570392461945,-0.21485011170360058,-0.4565664724814308,0.8327926259867872,0.8513012688265965,0.6911072608472325,0.6872253054687635,0.6974856441446017,0.7040612103383673,-0.06627070290202115,0.2730212627363705,0.4565664724814308
52,101,"(572, 371)",OT2008,PT20-9,2,10,10,1,101,4412.1,42.2,0.045473586884719995,-0.3612922880106416,-0.3707560394232323,-0.31857957139930965,-0.3075549523123828,-0.8607623908088153,-0.7459304826489669,-0.6370926705688953,-0.8425143480149043,-0.045473586884719995,-0.4009563307919928,-0.4101638372084195,-0.3581056145510854,-0.34841995958940436,-0.8729925545374699,-0.7666070314538056,-0.6645326892441581,-0.8562624366243384,0.3612922880106416,0.4009563307919928,-0.010689336070914653,0.050695296211724944,0.06307975109243417,-0.7413567390423355,-0.5388212234461353,-0.36217235454950664,-0.7094647197280279,0.3707560394232323,0.4101638372084195,0.010689336070914653,0.06107365339575597,0.0735848072048431,-0.7360324509453557,-0.5308899023430957,-0.3528251539787948,-0.7036336421644519,0.31857957139930965,0.3581056145510854,-0.050695296211724944,-0.06107365339575597,0.012416672996957017,-0.7404913642858856,-0.5563434430677496,-0.3970702046440822,-0.7099372447711318,0.3075549523123828,0.34841995958940436,-0.06307975109243417,-0.0735848072048431,-0.012416672996957017,-0.7510386690489131,-0.5692084608342268,-0.4102061571172594,-0.7212951407637473,0.8607623908088153,0.8729925545374699,0.7413567390423355,0.7360324509453557,0.7404913642858856,0.7510386690489131,0.3478858672945319,0.5229088408561939,0.0689248948461943,0.7459304826489669,0.7666070314538056,0.5388212234461353,0.5308899023430957,0.5563434430677496,0.5692084608342268,-0.3478858672945319,0.2210536553378674,-0.2863739365228001,0.6370926705688953,0.6645326892441581,0.36217235454950664,0.3528251539787948,0.3970702046440822,0.4102061571172594,-0.5229088408561939,-0.2210536553378674,-0.4723086370423341,0.8425143480149043,0.8562624366243384,0.7094647197280279,0.7036336421644519,0.7099372447711318,0.7212951407637473,-0.0689248948461943,0.2863739365228001,0.4723086370423341
53,100,"(572, 412)",OT2008,PT16-9-7-B,2,10,11,3,99,4272.9,47.0,0.07231583445500765,-0.3793010365963079,-0.38559759360413653,-0.3338059633374862,-0.33036234404680537,-0.8467288932416831,-0.7407998024059476,-0.6403528815725256,-0.8298160659671711,-0.07231583445500765,-0.43965299763323523,-0.4456456671687773,-0.39624632516323705,-0.39378543568191465,-0.8660123200081887,-0.7720214336413337,-0.6815750036634821,-0.8510997114128624,0.3793010365963079,0.43965299763323523,-0.006849188535855112,0.05584983497029097,0.06006848398079739,-0.7064355623628522,-0.5151822695095568,-0.34878677497083244,-0.6761909023980429,0.38559759360413653,0.4456456671687773,0.006849188535855112,0.06255255344546683,0.06685786909984875,-0.7023793304817443,-0.5098118038823081,-0.34273005116999017,-0.6718335365571807,0.3338059633374862,0.39624632516323705,-0.05584983497029097,-0.06255255344546683,0.0038934194821292484,-0.711838971156078,-0.5393213115510869,-0.38925816222115933,-0.6833517428999308,0.33036234404680537,0.39378543568191465,-0.06006848398079739,-0.06685786909984875,-0.0038934194821292484,-0.71946181084251,-0.5470026358246942,-0.39570586056487644,-0.6913586085173009,0.8467288932416831,0.8660123200081887,0.7064355623628522,0.7023793304817443,0.711838971156078,0.71946181084251,0.3089673681457726,0.4783029962141236,0.059292580361033936,0.7407998024059476,0.7720214336413337,0.5151822695095568,0.5098118038823081,0.5393213115510869,0.5470026358246942,-0.3089673681457726,0.20398999170181945,-0.25478134589088,0.6403528815725256,0.6815750036634821,0.34878677497083244,0.34273005116999017,0.38925816222115933,0.39570586056487644,-0.4783029962141236,-0.20398999170181945,-0.4323324312207701,0.8298160659671711,0.8510997114128624,0.6761909023980429,0.6718335365571807,0.6833517428999308,0.6913586085173009,-0.059292580361033936,0.25478134589088,0.4323324312207701
54,89.0,"(715, 2)",OT2008,PT16-37-5-B,2,9,1,1,100,4891.3,44.8,0.06961219523781625,-0.36658844742338215,-0.374358500715464,-0.3210310007911723,-0.3089688801571719,-0.8580509478792535,-0.7374454230564802,-0.6203350253177176,-0.8359731344908765,-0.06961219523781625,-0.4256911578221887,-0.43297608027340934,-0.3815802251874197,-0.37124822614023634,-0.8752975588135912,-0.7679423985029529,-0.6618879433325967,-0.8557381600503101,0.36658844742338215,0.4256911578221887,-0.008387702827365983,0.05443843371471912,0.0677512955749914,-0.7302300485251861,-0.5175753883266621,-0.33042387886225755,-0.6910790242570602,0.374358500715464,0.43297608027340934,0.008387702827365983,0.06253552403087344,0.07603517388913508,-0.7260984759761596,-0.5111929339659459,-0.32304278707367967,-0.686477421901036,0.3210310007911723,0.3815802251874197,-0.05443843371471912,-0.06253552403087344,0.01339487978855737,-0.7346474951953559,-0.5413613457450289,-0.37109145912282,-0.6975073351374705,0.3089688801571719,0.37124822614023634,-0.0677512955749914,-0.07603517388913508,-0.01339487978855737,-0.746082230029189,-0.5554012959482416,-0.38558804692854215,-0.7100420886945934,0.8580509478792535,0.8752975588135912,0.7302300485251861,0.7260984759761596,0.7346474951953559,0.746082230029189,0.3494341867905415,0.5295303247706451,0.08054749510539577,0.7374454230564802,0.7679423985029529,0.5175753883266621,0.5111929339659459,0.5413613457450289,0.5554012959482416,-0.3494341867905415,0.22644600053150993,-0.2772140681289612,0.6203350253177176,0.6618879433325967,0.33042387886225755,0.32304278707367967,0.37109145912282,0.38558804692854215,-0.5295303247706451,-0.22644600053150993,-0.470245724311514,0.8359731344908765,0.8557381600503101,0.6910790242570602,0.686477421901036,0.6975073351374705,0.7100420886945934,-0.08054749510539577,0.2772140681289612,0.470245724311514
55,90,"(715, 43)",OT2008,PT20-16,2,9,2,1,99,4970.4,45.0,0.05834039947429685,-0.35568195499789923,-0.3649304584645533,-0.3090861037057523,-0.2962460294103474,-0.8603493409951047,-0.7374747339685922,-0.6179099368411628,-0.8388856753624988,-0.05834039947429685,-0.4059471621522317,-0.4147459006491938,-0.36041293061116586,-0.34925326501009085,-0.8748152044284359,-0.76325656023243,-0.6531820997684636,-0.8554948951207739,0.35568195499789923,0.4059471621522317,-0.010298905133428612,0.054077528374378125,0.06775882171849239,-0.7392935323016921,-0.5259440658786708,-0.33795936509481367,-0.7016412560020118,0.3649304584645533,0.4147459006491938,0.010298905133428612,0.06409718056858336,0.07790817748516032,-0.7345073614754412,-0.5183253736407262,-0.3288660569563793,-0.6962838484857365,0.3090861037057523,0.36041293061116586,-0.054077528374378125,-0.06409718056858336,0.013863534443985175,-0.7443437415589723,-0.5504163229237401,-0.37894500393566,-0.7088685280329696,0.2962460294103474,0.34925326501009085,-0.06775882171849239,-0.07790817748516032,-0.013863534443985175,-0.7545253711131157,-0.5634366213854946,-0.39284081525681336,-0.7200801753146876,0.8603493409951047,0.8748152044284359,0.7392935323016921,0.7345073614754412,0.7443437415589723,0.7545253711131157,0.3582670039496621,0.5383539680504388,0.08055183647966992,0.7374747339685922,0.76325656023243,0.5259440658786708,0.5183253736407262,0.5504163229237401,0.5634366213854946,-0.3582670039496621,0.22961134695591542,-0.28668945228147563,0.6179099368411628,0.6531820997684636,0.33795936509481367,0.3288660569563793,0.37894500393566,0.39284081525681336,-0.5383539680504388,-0.22961134695591542,-0.4802218449164141,0.8388856753624988,0.8554948951207739,0.7016412560020118,0.6962838484857365,0.7088685280329696,0.7200801753146876,-0.08055183647966992,0.28668945228147563,0.4802218449164141
56,91,"(715, 84)",OT2008,PT20-20,2,9,3,1,100,NaN,NaN,0.061722131912564995,-0.37179858646748315,-0.3787246682792675,-0.3331994162919674,-0.32092690754736686,-0.8561777318261453,-0.7406233376945999,-0.6282269897244956,-0.8351120120380112,-0.061722131912564995,-0.42502171510683784,-0.4315266704727068,-0.3861738494171061,-0.3763887800458901,-0.8727177914398164,-0.768699131651329,-0.6655424573562727,-0.8539854136987611,0.37179858646748315,0.42502171510683784,-0.007574208371173894,0.0481481358686803,0.06083903405758734,-0.7266430656073154,-0.5210092343855826,-0.33786186451679057,-0.6896802339728688,0.3787246682792675,0.4315266704727068,0.007574208371173894,0.05550710350831069,0.06831939906810662,-0.7228562067089168,-0.5152267043751383,-0.33119220589043674,-0.6854751568931633,0.3331994162919674,0.3861738494171061,-0.0481481358686803,-0.05550710350831069,0.012765768701162491,-0.727420203859045,-0.5391466586794956,-0.3723445404185398,-0.691726702107449,0.32092690754736686,0.3763887800458901,-0.06083903405758734,-0.06831939906810662,-0.012765768701162491,-0.7387214054291185,-0.5528532240493085,-0.3861322952173511,-0.704215537681279,0.8561777318261453,0.8727177914398164,0.7266430656073154,0.7228562067089168,0.727420203859045,0.7387214054291185,0.33995080860925414,0.5190576176803952,0.07551301824010323,0.7406233376945999,0.768699131651329,0.5210092343855826,0.5152267043751383,0.5391466586794956,0.5528532240493085,-0.33995080860925414,0.22336273758610378,-0.2719257381192025,0.6282269897244956,0.6655424573562727,0.33786186451679057,0.33119220589043674,0.3723445404185398,0.3861322952173511,-0.5190576176803952,-0.22336273758610378,-0.4627764019227172,0.8351120120380112,0.8539854136987611,0.6896802339728688,0.6854751568931633,0.691726702107449,0.704215537681279,-0.07551301824010323,0.2719257381192025,0.4627764019227172
57,92,"(715, 125)",OT2008,PT16-9,2,9,4,4,97,4019.4,50.2,0.06312772102264291,-0.390166497723688,-0.39633688617168716,-0.334671379758993,-0.3310766228679111,-0.8476999310997009,-0.7418227329694426,-0.6362429330805852,-0.8296607139283573,-0.06312772102264291,-0.44298571308925466,-0.4489266219058806,-0.38950224883703544,-0.38729612397210506,-0.8646176198549816,-0.7693904389093131,-0.6730547102355414,-0.8485809750287082,0.390166497723688,0.44298571308925466,-0.006938802033503659,0.06714339100433972,0.07094032259746945,-0.6996340115753257,-0.505889008533946,-0.33049505442630056,-0.6671732081544111,0.39633688617168716,0.4489266219058806,0.006938802033503659,0.07394513288788458,0.07781338292913345,-0.6958285782343976,-0.500433650744803,-0.3243432060868731,-0.6630923451975537,0.334671379758993,0.38950224883703544,-0.06714339100433972,-0.07394513288788458,0.0034734317699327347,-0.712015432452068,-0.5396348452962949,-0.3821197058285293,-0.6816557114150373,0.3310766228679111,0.38729612397210506,-0.07094032259746945,-0.07781338292913345,-0.0034734317699327347,-0.7189746383939238,-0.5465061264961117,-0.3878597139342559,-0.6891760565989787,0.8476999310997009,0.8646176198549816,0.6996340115753257,0.6958285782343976,0.712015432452068,0.7189746383939238,0.30786207442628355,0.4836490929275286,0.06199419275520857,0.7418227329694426,0.7693904389093131,0.505889008533946,0.500433650744803,0.5396348452962949,0.5465061264961117,-0.30786207442628355,0.21145188035278137,-0.25105321450392504,0.6362429330805852,0.6730547102355414,0.33049505442630056,0.3243432060868731,0.3821197058285293,0.3878597139342559,-0.4836490929275286,-0.21145188035278137,-0.4356646627222403,0.8296607139283573,0.8485809750287082,0.6671732081544111,0.6630923451975537,0.6816557114150373,0.6891760565989787,-0.06199419275520857,0.25105321450392504,0.4356646627222403
58,93,"(715, 166)",OT2008,PT20-11,2,9,5,4,100,NaN,NaN,0.07302542264129104,-0.36685170399763983,-0.373215229625598,-0.3241441418313771,-0.31936037434558817,-0.8436756683434838,-0.7288408946887507,-0.6181755918582115,-0.8232724967285507,-0.07302542264129104,-0.42840855023379043,-0.43454475965994616,-0.38816281203999914,-0.38438587086326564,-0.863192817920827,-0.7613215684417365,-0.661607638492146,-0.8452034062155693,0.36685170399763983,0.42840855023379043,-0.007044821548909894,0.05072467906769978,0.05614468339004815,-0.7051705238001967,-0.5041442749628581,-0.32768056366982945,-0.6699003850657108,0.373215229625598,0.43454475965994616,0.007044821548909894,0.057646091722101465,0.06313661201344149,-0.7012002206609285,-0.49859948334689297,-0.32139490267518445,-0.6656045836376616,0.3241441418313771,0.38816281203999914,-0.05072467906769978,-0.057646091722101465,0.00519799372668988,-0.7096290110723722,-0.5267069650799335,-0.3657638944675207,-0.6758691595334857,0.31936037434558817,0.38438587086326564,-0.05614468339004815,-0.06313661201344149,-0.00519799372668988,-0.7175673904616743,-0.5348684747114635,-0.37287673988030445,-0.6843696595672601,0.8436756683434838,0.863192817920827,0.7051705238001967,0.7012002206609285,0.7096290110723722,0.7175673904616743,0.3197560636334537,0.4939401547263233,0.06770697371887563,0.7288408946887507,0.7613215684417365,0.5041442749628581,0.49859948334689297,0.5267069650799335,0.5348684747114635,-0.3197560636334537,0.21222487375343832,-0.25800442902428583,0.6181755918582115,0.661607638492146,0.32768056366982945,0.32139490267518445,0.3657638944675207,0.37287673988030445,-0.4939401547263233,-0.21222487375343832,-0.4419052018024134,0.8232724967285507,0.8452034062155693,0.6699003850657108,0.6656045836376616,0.6758691595334857,0.6843696595672601,-0.06770697371887563,0.25800442902428583,0.4419052018024134
